"Alsace","Bas-Rhin","67","94","Domfessel","67430","67099","48.9514","7.15222","149"
"Alsace","Bas-Rhin","67","95","Donnenheim","67170","67100","48.7178","7.65333","125"
"Alsace","Bas-Rhin","67","96","Dorlisheim","67120","67101","48.5228","7.48778","1290"
"Alsace","Bas-Rhin","67","97","Dossenheim-Kochersberg","67117","67102","48.6378","7.57333","106"
"Alsace","Bas-Rhin","67","98","Dossenheim-sur-Zinsel","67330","67103","48.8067","7.40417","584"
"Alsace","Bas-Rhin","67","99","Drachenbronn-Birlenbach","67160","67104","48.9869","7.86917","461"
"Alsace","Bas-Rhin","67","100","Drulingen","67320","67105","48.8672","7.19306","775"
"Alsace","Bas-Rhin","67","101","Drusenheim","67410","67106","48.7631","7.95306","2629"
"Alsace","Bas-Rhin","67","102","Duntzenheim","67270","67107","48.7117","7.53611","308"
"Alsace","Bas-Rhin","67","103","Duppigheim","67120","67108","48.5283","7.59306","845"
"Alsace","Bas-Rhin","67","104","Durningen","67270","67109","48.6817","7.56722","297"
"Alsace","Bas-Rhin","67","105","Durrenbach","67360","67110","48.8972","7.7675","540"
"Alsace","Bas-Rhin","67","106","Durstel","67320","67111","48.8914","7.19833","215"
"Alsace","Bas-Rhin","67","107","Duttlenheim","67120","67112","48.5244","7.56778","1508"
"Alsace","Bas-Rhin","67","108","Eberbach-Seltz","67470","67113","48.9289","8.0675","211"
"Alsace","Bas-Rhin","67","109","Ebersheim","67600","67115","48.3047","7.50389","1065"
"Alsace","Bas-Rhin","67","110","Ebersmunster","67600","67116","48.3117","7.52722","257"
"Alsace","Bas-Rhin","67","111","Eckartswiller","67700","67117","48.7653","7.35528","257"
"Alsace","Bas-Rhin","67","112","Eckbolsheim","67201","67118","48.5775","7.68889","3521"
"Alsace","Bas-Rhin","67","113","Eckwersheim","67550","67119","48.6803","7.69556","679"
"Alsace","Bas-Rhin","67","114","Eichhoffen","67140","67120","48.3842","7.445","261"
"Alsace","Bas-Rhin","67","115","Elsenheim","67390","67121","48.16","7.49833","412"
"Alsace","Bas-Rhin","67","116","Engwiller","67350","67123","48.8853","7.61583","255"
"Alsace","Bas-Rhin","67","117","Entzheim","67960","67124","48.5314","7.63389","924"
"Alsace","Bas-Rhin","67","118","Epfig","67680","67125","48.36","7.46444","1142"
"Alsace","Bas-Rhin","67","119","Erckartswiller","67290","67126","48.8756","7.36194","132"
"Alsace","Bas-Rhin","67","120","Ergersheim","67120","67127","48.5703","7.52778","587"
"Alsace","Bas-Rhin","67","121","Ernolsheim-Bruche","67120","67128","48.5644","7.565","851"
"Alsace","Bas-Rhin","67","122","Ernolsheim-lès-Saverne","67330","67129","48.7922","7.38111","312"
"Alsace","Bas-Rhin","67","123","Erstein","67150","67130","48.4214","7.66389","5915"
"Alsace","Bas-Rhin","67","124","Eschau","67114","67131","48.4872","7.71583","2498"
"Alsace","Bas-Rhin","67","125","Eschbach","67360","67132","48.8758","7.73694","491"
"Alsace","Bas-Rhin","67","126","Eschbourg","67320","67133","48.8133","7.29667","264"
"Alsace","Bas-Rhin","67","127","Eschwiller","67320","67134","48.8597","7.115","94"
"Alsace","Bas-Rhin","67","128","Ettendorf","67350","67135","48.8131","7.58528","396"
